,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
3946,A28418,We should end mandatory retirement,in favor of,"mandatory retirement discriminates based on age, not ability and should be ended","mandatory retirement discriminates based on age, not ability and should be ended in favor of We should end mandatory retirement","['Self-direction: action', 'Conformity: interpersonal', 'Universalism: concern', 'Universalism: objectivity']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5434,A12151,Homeschooling should be banned,in favor of,homeschooling does not prepare children for the real world.  the child is not getting the top notch education they need in order to succeed in life.  the children deserve better.,homeschooling does not prepare children for the real world.  the child is not getting the top notch education they need in order to succeed in life.  the children deserve better. in favor of Homeschooling should be banned,"['Self-direction: thought', 'Stimulation', 'Achievement']",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4879,E02048,The European Union should support and integrate immigrant people to ensure that they live with dignity and equality with all European citizens,against,Either the EU will be a fortress against illegal migration or it will not exist anymore in the future.,Either the EU will be a fortress against illegal migration or it will not exist anymore in the future. against The European Union should support and integrate immigrant people to ensure that they live with dignity and equality with all European citizens,['Security: societal'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2991,A25020,We should ban fast food,in favor of,fast food has become extremely unhealthy and contributing to nation's obesity crisis.,fast food has become extremely unhealthy and contributing to nation's obesity crisis. in favor of We should ban fast food,"['Security: personal', 'Benevolence: dependability', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5584,A18252,Holocaust denial should be a criminal offence,in favor of,Holocaust denial is a criminal offence in seventeen countries and in recent years,Holocaust denial is a criminal offence in seventeen countries and in recent years in favor of Holocaust denial should be a criminal offence,"['Security: societal', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
6811,A30261,The use of public defenders should be mandatory,against,"public defenders can never be truly independent of the justice system that pays them, therefore they shouldn't be mandatory","public defenders can never be truly independent of the justice system that pays them, therefore they shouldn't be mandatory against The use of public defenders should be mandatory","['Self-direction: action', 'Benevolence: caring', 'Benevolence: dependability', 'Universalism: concern']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
5599,A18309,Social media brings more harm than good,against,"social media gives it users a place to seek support when in need whether emotional or financially, things that would be more difficult if not impossible to do outside of their home.","social media gives it users a place to seek support when in need whether emotional or financially, things that would be more difficult if not impossible to do outside of their home. against Social media brings more harm than good","['Self-direction: action', 'Face', 'Security: personal', 'Benevolence: caring', 'Benevolence: dependability']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
3139,A25266,We should legalize prostitution,in favor of,people can make a living from prostitution,people can make a living from prostitution in favor of We should legalize prostitution,"['Self-direction: action', 'Power: resources', 'Security: personal', 'Universalism: concern']",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1407,A20105,We should ban algorithmic trading,in favor of,algorithmic trading should be banned as the software can be hacked by criminals.,algorithmic trading should be banned as the software can be hacked by criminals. in favor of We should ban algorithmic trading,"['Self-direction: action', 'Achievement', 'Power: resources', 'Security: societal']",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2644,A23493,We should ban the use of child actors,in favor of,we should ban the use of child actors as they should be concentrating on getting an education first,we should ban the use of child actors as they should be concentrating on getting an education first in favor of We should ban the use of child actors,"['Self-direction: thought', 'Stimulation', 'Achievement', 'Conformity: rules']",1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
